text,label,source,prob_positive
sp tốt giao tầm tuần tại hàng qte,0,train,
mn nên mua nha hình_ảnh mang tính_chất minh_hoạ,0,train,
h h d d s s d d h s h d d s s h s h s s d d,0,train,
đã nhận đx hàng dép đẹp giá rẻ nhưng về dép bị móp méo đi mấy hôm rồi vẫn vây,0,train,
chất_liệu cao_su,0,train,
đúng với mô tảo k,0,train,
chất_liệu vải,0,train,
bây_giờ có rất nhiều người đeo dép cao_su,0,train,
đúng với mô_tả dung mo ta,0,train,
hộp hơi bị móp,0,train,
công_dụng me ku p,0,train,
chất_liệu k biết,0,train,
được nha mn do săn sa le có k à gói hàng kĩ mà lúc mở ra thì thấy hơi cũ còn bị mủm vài chỗ cũng tạm đc ạ,0,train,
sợ đẹp đánh_giá sao,0,train,
"mề m , m ịn",0,train,
độ bền màu chưa dùng nên chưa bic,0,train,
màu_sắc giống với mô_tả,0,train,
nhma bị mẹ phát_hiện nên cho sao thôi nha,0,train,
màu_sắc màu be,0,train,
đánh_giá sao,0,train,
màu_sắc g cy cy c t c,0,train,
chất_liệu da pu,0,train,
màu_sắc giống với hình_ảnh,0,train,
đúng với mô_tả cũng giống dép,0,train,
đúng với mô_tả đúng v,0,train,
mới nhìn thì rộng mà mang vô vừa in,0,train,
chất_liệu cotton,0,train,
chất_liệu sắt,0,train,
nhưng loa hơi è,0,train,
chất_lượng sản_phẩm d d,0,train,
êmm lắm,0,train,
ca ngày,0,train,
màu_sắc đỏ,0,train,
chất_liệu gió,0,train,
"xin loi , thue bao cua quy khach chua du dieu kien ung tien do dang no cuoc dich vu",0,train,
chất_liệu tót,0,train,
chất_liệu da,0,train,
mình đặt mà shop giao nên đeo hơi bự,0,train,
đúng với mô_tả dép đúng màu,0,train,
đúng với mô_tả đúng vs mô_tả nha,0,train,
em chắc gì sạch bằng cl an bên chị nhất cái miệng,0,train,
g,0,train,
đúng với mô tảr,0,train,
orm áo không quá rộng như trong đánh_giá,0,train,
chất_lượng sản_phẩm có hỏng mất bên tai,0,train,
chất_liệu đ c,0,train,
"m , kg mặc vừa người",0,train,
mình tưởng là ở ngoài sẽ không phát_âm nhưng phát ra âm rất to người ngoài vẫn nghe được,0,train,
đáng_giá tiền,0,train,
go o d,0,train,
đúng với mô_tả không,0,train,
màu_sắc den hong,0,train,
